Id,Parent_Account__c,RecordTypeId,Weekday__c,Start_Time__c,End_Time__c,Type__c
a014K00000Kn1u7QAB,null,0124K0000000qqYQAQ,Sunday,null,null,Local office opening hours
a014K00000Kn1v3QAB,null,0124K0000000qqYQAQ,Monday,10:00:00.000Z,16:00:00.000Z,Local office opening hours
a014K00000Kn1v4QAB,null,0124K0000000qqYQAQ,Tuesday,null,null,Local office opening hours
a014K00000Kn1v5QAB,null,0124K0000000qqYQAQ,Wednesday,10:00:00.000Z,16:00:00.000Z,Local office opening hours
a014K00000Kn1v6QAB,null,0124K0000000qqYQAQ,Thursday,null,null,Local office opening hours
a014K00000Kn1v7QAB,null,0124K0000000qqYQAQ,Friday,10:00:00.000Z,16:00:00.000Z,Local office opening hours
a014K00000Kn1v8QAB,null,0124K0000000qqYQAQ,Saturday,null,null,Local office opening hours
a014K00000Kn1v9QAB,null,0124K0000000qqYQAQ,Sunday,null,null,Local office opening hours
a014K00000Kn1taQAB,0014K00000XORoqQAH,0124K0000000qqYQAQ,Monday,null,null,Local office opening hours
a014K00000Kn1tbQAB,0014K00000XORoqQAH,0124K0000000qqYQAQ,Tuesday,10:00:00.000Z,16:00:00.000Z,Local office opening hours
a014K00000Kn1tcQAB,0014K00000XORoqQAH,0124K0000000qqYQAQ,Wednesday,10:00:00.000Z,16:00:00.000Z,Local office opening hours
a014K00000Kn1tdQAB,0014K00000XORoqQAH,0124K0000000qqYQAQ,Thursday,10:00:00.000Z,16:00:00.000Z,Local office opening hours
a014K00000Kn1teQAB,0014K00000XORoqQAH,0124K0000000qqYQAQ,Friday,null,null,Local office opening hours
a014K00000Kn1tfQAB,0014K00000XORoqQAH,0124K0000000qqYQAQ,Saturday,null,null,Local office opening hours
a014K00000Kn1tgQAB,0014K00000XORoqQAH,0124K0000000qqYQAQ,Sunday,null,null,Local office opening hours
a014K00000Kn1u1QAB,null,0124K0000000qqYQAQ,Monday,09:00:00.000Z,16:00:00.000Z,Local office opening hours
a014K00000Kn1u2QAB,null,0124K0000000qqYQAQ,Tuesday,null,null,Local office opening hours
a014K00000Kn1u3QAB,null,0124K0000000qqYQAQ,Wednesday,09:00:00.000Z,16:00:00.000Z,Local office opening hours
a014K00000Kn1u4QAB,null,0124K0000000qqYQAQ,Thursday,null,null,Local office opening hours
a014K00000Kn1u5QAB,null,0124K0000000qqYQAQ,Friday,09:00:00.000Z,16:00:00.000Z,Local office opening hours
a014K00000Kn1u6QAB,null,0124K0000000qqYQAQ,Saturday,null,null,Local office opening hours
a014K00000Kn6TxQAJ,0014K000009EMJ4QAO,0124K0000000qqYQAQ,Monday,10:30:00.000Z,13:00:00.000Z,Local office opening hours
a014K00000Kn6TyQAJ,0014K000009EMJ4QAO,0124K0000000qqYQAQ,Tuesday,null,null,Local office opening hours
a014K00000Kn6TzQAJ,0014K000009EMJ4QAO,0124K0000000qqYQAQ,Wednesday,10:30:00.000Z,13:00:00.000Z,Local office opening hours
a014K00000Kn6U0QAJ,0014K000009EMJ4QAO,0124K0000000qqYQAQ,Thursday,null,null,Local office opening hours
a014K00000Kn6U1QAJ,0014K000009EMJ4QAO,0124K0000000qqYQAQ,Friday,null,null,Local office opening hours
a014K00000Kn6U2QAJ,0014K000009EMJ4QAO,0124K0000000qqYQAQ,Saturday,null,null,Local office opening hours
a014K00000Kn6U3QAJ,0014K000009EMJ4QAO,0124K0000000qqYQAQ,Sunday,null,null,Local office opening hours
a014K00000KmxyQQAR,0014K000009EMPYQA4,0124K0000000qqYQAQ,Monday,10:00:00.000Z,14:00:00.000Z,Local office opening hours
a014K00000KmxyRQAR,0014K000009EMPYQA4,0124K0000000qqYQAQ,Tuesday,10:00:00.000Z,14:00:00.000Z,Local office opening hours
